age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
48,Self-emp-not-inc,44205,Assoc-acdm,10,Never-married,Other-service,Unmarried,Other,Female,76826,7381,86,United-States,<=50K
36,Without-pay,27701,11th,16,Divorced,Tech-support,Wife,Black,Female,58688,8732,77,Mexico,<=50K
69,Never-worked,465925,Some-college,3,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,77512,6133,62,Jamaica,>50K
56,Local-gov,67112,HS-grad,5,Separated,Other-service,Own-child,White,Female,30988,2862,86,Jamaica,>50K
73,Private,58725,7th-8th,6,Separated,Tech-support,Own-child,Asian-Pac-Islander,Female,43112,5995,24,Mexico,<=50K
78,Self-emp-not-inc,430799,Some-college,16,Separated,Tech-support,Own-child,Black,Female,50854,8794,40,Germany,>50K
79,Local-gov,482336,HS-grad,5,Never-married,Other-service,Not-in-family,Other,Female,45811,7118,28,Mexico,<=50K
73,Self-emp-not-inc,395090,Assoc-voc,3,Widowed,Craft-repair,Husband,White,Male,2768,4166,6,India,<=50K
67,Private,354919,11th,3,Never-married,Exec-managerial,Unmarried,White,Male,43434,8298,10,Mexico,<=50K
18,Without-pay,223018,10th,5,Widowed,Tech-support,Not-in-family,Black,Male,98307,702,93,Cuba,<=50K
79,Self-emp-not-inc,460175,10th,14,Widowed,Prof-specialty,Not-in-family,Other,Male,65422,8630,66,India,<=50K
87,Never-worked,165939,HS-grad,7,Widowed,Sales,Wife,Asian-Pac-Islander,Female,30022,3692,6,Mexico,>50K
25,Local-gov,217975,Assoc-acdm,14,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,69131,4731,56,United-States,>50K
87,Local-gov,42078,Some-college,5,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,31129,7673,47,Mexico,<=50K
33,Never-worked,390508,Masters,8,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,15216,3781,49,Cuba,<=50K
37,Self-emp-not-inc,438075,HS-grad,8,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Male,77051,4762,27,Canada,>50K
49,Local-gov,91819,7th-8th,15,Separated,Exec-managerial,Not-in-family,Other,Female,71934,3240,76,Germany,<=50K
24,State-gov,61579,11th,10,Never-married,Exec-managerial,Own-child,White,Male,58667,3187,23,United-States,<=50K
52,Self-emp-not-inc,491681,Assoc-acdm,13,Widowed,Sales,Unmarried,Other,Male,16826,4949,29,Mexico,>50K
53,Self-emp-not-inc,414171,11th,12,Never-married,Craft-repair,Not-in-family,Black,Male,12896,4925,52,India,>50K
77,Federal-gov,255335,Bachelors,16,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,99704,5274,1,India,>50K
71,Never-worked,259831,11th,8,Widowed,Other-service,Wife,Black,Female,28204,145,15,Canada,>50K
68,Federal-gov,55550,HS-grad,3,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,51304,417,89,India,>50K
56,Local-gov,82667,Masters,3,Divorced,Exec-managerial,Own-child,White,Female,40998,9668,40,Cuba,>50K
60,Federal-gov,479493,Assoc-voc,11,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,45784,4146,5,Mexico,<=50K
22,Never-worked,130942,Assoc-acdm,13,Divorced,Sales,Unmarried,White,Male,71260,6289,83,India,<=50K
18,Local-gov,98379,Some-college,4,Divorced,Craft-repair,Own-child,Other,Male,89916,682,5,Germany,>50K
67,Without-pay,351686,11th,5,Never-married,Other-service,Own-child,Other,Male,99225,3966,35,Canada,>50K
47,Self-emp-not-inc,56627,Masters,5,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,38117,859,25,Mexico,<=50K
24,Federal-gov,75769,11th,8,Divorced,Craft-repair,Not-in-family,White,Female,676,731,4,Jamaica,>50K
82,Federal-gov,396664,HS-grad,2,Widowed,Other-service,Unmarried,White,Male,16273,1307,33,Jamaica,<=50K
61,Private,398278,Masters,14,Divorced,Tech-support,Husband,Other,Male,31150,73,5,Canada,<=50K
81,Without-pay,323332,Masters,9,Widowed,Prof-specialty,Unmarried,White,Male,2267,3697,68,United-States,<=50K
34,Without-pay,159209,Masters,1,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,98625,737,32,Jamaica,<=50K
57,Private,382933,HS-grad,1,Divorced,Other-service,Own-child,Black,Male,92632,9624,73,Mexico,>50K
28,Never-worked,277264,Masters,11,Never-married,Other-service,Unmarried,Other,Male,26170,5983,52,Canada,<=50K
63,Self-emp-not-inc,472870,HS-grad,3,Never-married,Tech-support,Husband,Asian-Pac-Islander,Female,42871,5590,93,Jamaica,<=50K
42,Local-gov,407935,11th,7,Married-civ-spouse,Tech-support,Unmarried,White,Male,44908,3407,33,India,<=50K
18,Federal-gov,166671,HS-grad,5,Divorced,Sales,Unmarried,Other,Male,9978,165,6,United-States,<=50K
54,Without-pay,123146,Assoc-acdm,15,Married-civ-spouse,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,87566,8789,84,India,<=50K
67,Federal-gov,462222,11th,15,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,8194,1141,26,Mexico,>50K
52,Self-emp-not-inc,268504,Bachelors,12,Divorced,Craft-repair,Own-child,Black,Female,62749,553,57,Mexico,>50K
27,Federal-gov,201141,10th,3,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,33885,1256,14,Jamaica,>50K
83,Local-gov,416555,Masters,11,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,65250,970,87,Jamaica,>50K
20,Never-worked,392590,Assoc-acdm,1,Separated,Sales,Husband,Black,Male,17556,4170,17,United-States,<=50K
25,Never-worked,278979,HS-grad,10,Divorced,Craft-repair,Unmarried,Other,Male,35381,3235,82,United-States,>50K
60,State-gov,409981,11th,9,Never-married,Tech-support,Wife,Other,Male,51359,1659,53,Mexico,<=50K
34,Local-gov,53931,11th,15,Divorced,Craft-repair,Own-child,Black,Female,37874,8095,4,Mexico,<=50K
54,State-gov,90153,Assoc-voc,11,Separated,Other-service,Husband,Amer-Indian-Eskimo,Male,64759,4483,1,Germany,>50K
41,Private,385114,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,98066,1819,49,Cuba,>50K
34,Self-emp-not-inc,477733,Masters,14,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Female,47298,3765,70,Canada,>50K
70,Federal-gov,236290,Some-college,1,Widowed,Other-service,Husband,Black,Female,30712,4612,4,United-States,<=50K
58,Never-worked,327144,Masters,16,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,65168,2980,85,Mexico,<=50K
79,Federal-gov,42040,11th,2,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Female,71755,5371,30,Canada,<=50K
33,Local-gov,110637,10th,3,Separated,Craft-repair,Not-in-family,Other,Female,78258,818,76,India,<=50K
71,Without-pay,145303,7th-8th,4,Married-civ-spouse,Tech-support,Own-child,Asian-Pac-Islander,Female,71509,5618,46,India,<=50K
27,Private,194254,Bachelors,7,Never-married,Prof-specialty,Own-child,Other,Female,97908,6944,83,United-States,>50K
41,Local-gov,340743,10th,2,Divorced,Other-service,Husband,Asian-Pac-Islander,Female,92952,5858,81,Jamaica,>50K
52,State-gov,120963,7th-8th,5,Divorced,Exec-managerial,Husband,Other,Male,11524,9908,8,United-States,<=50K
45,Federal-gov,208561,Assoc-acdm,8,Never-married,Craft-repair,Own-child,Black,Female,95479,322,52,Mexico,>50K
48,Private,112053,11th,13,Married-civ-spouse,Craft-repair,Own-child,Black,Female,83942,2580,67,India,>50K
63,Local-gov,34933,Bachelors,4,Divorced,Craft-repair,Own-child,Black,Male,89737,5690,24,United-States,<=50K
25,Local-gov,481082,HS-grad,7,Separated,Craft-repair,Husband,Other,Female,82261,6024,79,Cuba,>50K
69,State-gov,386519,HS-grad,4,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander,Male,9594,4005,20,India,>50K
33,Federal-gov,492040,11th,2,Never-married,Sales,Husband,Black,Female,88923,2624,35,Jamaica,>50K
29,Private,183976,Assoc-acdm,4,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,53225,7819,59,Germany,>50K
23,Private,134473,HS-grad,8,Never-married,Other-service,Unmarried,Black,Male,32535,1852,52,Jamaica,<=50K
76,Federal-gov,61092,Bachelors,15,Married-civ-spouse,Craft-repair,Own-child,Other,Female,40370,9502,56,United-States,<=50K
81,Without-pay,499179,Assoc-acdm,11,Never-married,Exec-managerial,Husband,White,Male,32426,6024,50,Mexico,<=50K
60,Private,369196,HS-grad,2,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Male,88479,7602,72,Jamaica,>50K
40,Local-gov,97266,Assoc-acdm,10,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Female,65888,5226,19,India,<=50K
36,Without-pay,409629,HS-grad,3,Divorced,Sales,Wife,Asian-Pac-Islander,Male,94685,7361,55,Jamaica,<=50K
60,Self-emp-not-inc,89055,10th,10,Separated,Craft-repair,Own-child,White,Male,46456,2143,31,Jamaica,>50K
38,Self-emp-not-inc,111392,Bachelors,15,Divorced,Craft-repair,Own-child,Black,Male,22634,9357,86,Mexico,>50K
68,Without-pay,409955,Assoc-acdm,12,Widowed,Sales,Husband,Other,Female,52258,7363,8,Jamaica,<=50K
69,Never-worked,372666,11th,5,Separated,Sales,Not-in-family,Black,Female,85386,4638,7,Mexico,<=50K
87,Federal-gov,104830,Assoc-acdm,3,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Male,30287,8152,14,Cuba,>50K
55,State-gov,348644,Assoc-voc,7,Married-civ-spouse,Tech-support,Not-in-family,Other,Female,2598,5128,25,India,>50K
20,Self-emp-not-inc,305266,Assoc-acdm,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,19027,6512,74,Canada,<=50K
76,Federal-gov,348660,Assoc-acdm,8,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,80376,5104,63,United-States,<=50K
32,Local-gov,467005,7th-8th,13,Widowed,Other-service,Not-in-family,Other,Male,95050,2203,89,Cuba,>50K
73,Private,374777,Bachelors,5,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,54608,7625,19,Canada,>50K
51,Federal-gov,220159,Some-college,16,Widowed,Exec-managerial,Unmarried,Other,Female,33339,5885,19,Mexico,>50K
25,Self-emp-not-inc,302280,Bachelors,2,Never-married,Other-service,Own-child,Other,Male,66879,1150,35,Canada,>50K
32,Self-emp-not-inc,361929,10th,10,Separated,Exec-managerial,Own-child,White,Female,11506,4781,23,India,>50K
79,State-gov,225668,HS-grad,3,Separated,Exec-managerial,Wife,Other,Male,66836,1727,56,Mexico,>50K
47,State-gov,126166,Some-college,3,Divorced,Sales,Wife,Black,Male,41978,5811,62,Jamaica,>50K
59,Federal-gov,53477,11th,5,Separated,Craft-repair,Unmarried,Black,Female,51015,9952,54,Canada,<=50K
44,Never-worked,282986,11th,8,Divorced,Sales,Not-in-family,Other,Female,14320,5925,24,Jamaica,<=50K
74,Private,383222,Assoc-acdm,1,Married-civ-spouse,Tech-support,Husband,Black,Male,61191,7468,30,Canada,>50K
25,Never-worked,103015,Assoc-acdm,7,Separated,Other-service,Unmarried,White,Female,76808,1210,96,Mexico,>50K
88,Never-worked,469058,Assoc-acdm,8,Never-married,Prof-specialty,Own-child,Black,Female,98429,8012,68,United-States,>50K
38,Federal-gov,288641,11th,10,Divorced,Other-service,Own-child,Black,Male,20101,5863,23,India,<=50K
46,Local-gov,18526,Some-college,16,Widowed,Tech-support,Not-in-family,White,Male,6344,6290,34,India,<=50K
76,Private,338809,Bachelors,16,Widowed,Tech-support,Own-child,White,Female,15904,8941,97,India,<=50K
20,Self-emp-not-inc,144185,Assoc-acdm,8,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,104,7356,31,Jamaica,<=50K
72,Local-gov,167281,Bachelors,11,Widowed,Sales,Husband,Black,Male,64760,2801,3,Canada,<=50K
20,State-gov,268131,Masters,8,Widowed,Sales,Wife,Black,Female,7270,7016,24,United-States,>50K
81,Local-gov,55994,11th,16,Divorced,Tech-support,Husband,Amer-Indian-Eskimo,Male,24271,3714,11,Germany,>50K
70,State-gov,218475,7th-8th,16,Widowed,Tech-support,Husband,Asian-Pac-Islander,Male,26708,2620,55,Mexico,>50K
85,Self-emp-not-inc,261024,10th,5,Separated,Prof-specialty,Wife,White,Male,9408,4850,81,India,<=50K
27,State-gov,427017,11th,5,Widowed,Other-service,Husband,White,Female,75753,8138,3,Mexico,<=50K
78,Without-pay,479671,Assoc-acdm,3,Separated,Prof-specialty,Unmarried,Other,Female,30827,9259,48,Mexico,>50K
55,Private,246751,Assoc-acdm,16,Married-civ-spouse,Sales,Own-child,Amer-Indian-Eskimo,Male,20726,24,66,Cuba,>50K
50,Private,365450,Masters,8,Divorced,Prof-specialty,Wife,Black,Female,63648,5895,43,Canada,>50K
52,Never-worked,441736,7th-8th,4,Widowed,Sales,Not-in-family,White,Female,76213,3803,33,Cuba,<=50K
77,Without-pay,455055,Bachelors,2,Divorced,Prof-specialty,Own-child,Other,Female,58068,1016,13,Germany,<=50K
82,State-gov,489368,Bachelors,14,Never-married,Tech-support,Wife,Other,Female,34186,7227,43,Canada,>50K
90,Private,37875,HS-grad,1,Separated,Prof-specialty,Wife,Black,Male,86037,4210,71,Jamaica,<=50K
68,Never-worked,102078,10th,11,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,74987,7551,57,India,>50K
35,State-gov,417059,10th,12,Married-civ-spouse,Craft-repair,Own-child,Other,Female,96420,7244,60,United-States,<=50K
25,Private,255809,Masters,13,Widowed,Prof-specialty,Not-in-family,Black,Male,4243,987,60,Jamaica,<=50K
50,Without-pay,210729,Assoc-voc,2,Divorced,Exec-managerial,Wife,White,Male,72210,4317,96,Mexico,<=50K
39,Private,67547,Some-college,8,Never-married,Craft-repair,Wife,Black,Female,88070,7759,39,Mexico,<=50K
81,Federal-gov,111393,Assoc-acdm,15,Separated,Sales,Wife,Other,Female,43343,5925,55,Cuba,<=50K
59,Local-gov,342295,10th,1,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,14540,3750,9,Germany,>50K
19,Federal-gov,391028,11th,7,Married-civ-spouse,Exec-managerial,Wife,White,Male,19541,8604,65,United-States,<=50K
39,Never-worked,161669,10th,16,Divorced,Prof-specialty,Wife,Other,Male,57006,5402,1,Canada,>50K
